UID No,Manufacturer,Engine Identification,Combustor Description,Eng Type,B/P Ratio,Pressure Ratio,Rated Thrust (kN),Fuel Flow T/O (kg/sec),Fuel Flow C/O (kg/sec),Fuel Flow App (kg/sec),Fuel Flow Idle (kg/sec),Fuel LTO Cycle (kg)  ,Fuel Heat of Combustion (MJ/kg),Fuel Hydrogen Content (% mass),Fuel Aromatics Content (% vol),Fuel Naphthalene Content (% vol),Fuel Sulphur Content (ppm by mass),nvPM EImass T/O (mg/kg),nvPM EImass C/O (mg/kg),nvPM EImass App (mg/kg),nvPM EImass Idle (mg/kg),nvPM EImass Max (mg/kg),nvPM EInum T/O (#/kg),nvPM EInum C/O (#/kg),nvPM EInum App (#/kg),nvPM EInum Idle (#/kg),nvPM EInum Max (#/kg),nvPM EImass_SL T/O (mg/kg),nvPM EImass_SL C/O (mg/kg),nvPM EImass_SL App (mg/kg),nvPM EImass_SL Idle (mg/kg),nvPM EInum_SL T/O (#/kg),nvPM EInum_SL C/O (#/kg),nvPM EInum_SL App (#/kg),nvPM EInum_SL Idle (#/kg),Ambient Baro Min (kPa),Ambient Baro Max (kPa),Ambient Temp Min (K),Ambient Temp Max (K),max_nvpm_ei_m_between_30_85,max_nvpm_ei_n_between_30_85
01P14HN011,Honeywell,AS907-2-1A (HTF7350),SABER-1,MTF,4.2,22.88,33.0,0.373,0.309,0.107,0.048,157.6,43.05,13.66,16.7,1.24,744.0,280.7,295.2,6.6,10.5,300.9,1270000000000000.0,1990000000000000.0,296000000000000.0,567000000000000.0,2180000000000000.0,331.7,348.9,11.0,19.0,3580000000000000.0,5740000000000000.0,2280000000000000.0,5030000000000000.0,96.6,97.5,289.0,300.0,0,0
01P11HN012,Honeywell,AS907-2-1G (HTF7250G),SABER-1,MTF,4.2,22.58,32.86,0.372,0.308,0.107,0.049,159.0,43.05,13.66,16.7,1.24,744.0,289.7,290.3,6.5,9.9,301.1,1410000000000000.0,2050000000000000.0,295000000000000.0,538000000000000.0,2180000000000000.0,342.2,343.8,11.0,18.0,3990000000000000.0,5980000000000000.0,2280000000000000.0,4760000000000000.0,96.6,97.5,289.0,300.0,0,0
01P18HN013,Honeywell,AS907-2-1S (HTF7700L),SABER-1,MTF,4.2,23.29,34.03,0.386,0.319,0.109,0.048,159.0,43.05,13.66,16.7,1.24,744.0,279.3,299.1,7.7,9.8,299.6,1040000000000000.0,1840000000000000.0,325000000000000.0,532000000000000.0,2170000000000000.0,329.5,352.9,12.8,17.8,2900000000000000.0,5260000000000000.0,2460000000000000.0,4710000000000000.0,96.6,97.5,289.0,300.0,0,0
01P14HN014,Honeywell,AS907-3-1E-A1 (HTF7500E),SABER-1,MTF,4.2,21.05,29.4,0.32,0.267,0.097,0.048,147.0,43.05,13.66,16.7,1.24,744.0,304.3,255.6,4.8,11.4,304.3,1940000000000000.0,2200000000000000.0,247000000000000.0,616000000000000.0,2200000000000000.0,359.1,308.2,8.2,20.7,5550000000000000.0,6980000000000000.0,1970000000000000.0,5470000000000000.0,96.6,97.5,289.0,300.0,0,0
01P14HN015,Honeywell,AS907-3-1E-A2 (HTF7500E),SABER-1,MTF,4.2,22.3,31.61,0.349,0.289,0.102,0.049,154.0,43.05,13.66,16.7,1.24,744.0,300.0,280.6,6.1,9.9,302.8,1620000000000000.0,2130000000000000.0,285000000000000.0,539000000000000.0,2190000000000000.0,354.0,333.9,10.3,18.0,4580000000000000.0,6360000000000000.0,2210000000000000.0,4770000000000000.0,96.6,97.5,289.0,300.0,0,0
01P14HN016,Honeywell,AS907-3-1E-A3 (HTF7500E),SABER-1,MTF,4.2,23.57,33.83,0.378,0.312,0.108,0.05,161.0,43.05,13.66,16.7,1.24,744.0,278.5,295.0,7.9,8.7,299.8,1250000000000000.0,1970000000000000.0,329000000000000.0,474000000000000.0,2170000000000000.0,329.1,348.5,13.1,15.8,3520000000000000.0,5680000000000000.0,2490000000000000.0,4190000000000000.0,96.6,97.5,289.0,300.0,0,0
01P02GE186,General Electric Company,CF6-80C2B1F,LEC,TF,5.1,30.55,254.26,2.4165490555555555,2.0566228333333334,0.644598361111111,0.19527475,832.301491,43.21,13.65,17.5,0.22,78.0,34.92245132160782,18.27513659326124,1.2995650848561355,1.2307542030223642,34.92245132160782,236149813001573.84,239138496160343.66,39626866348647.25,65371893693775.74,246967942438862.4,40.69772191859582,23.394528459252502,1.935545277498923,2.151546419981212,599758109582148.2,925220212794259.5,248008075520929.44,598556795459161.9,97.63,97.77,284.8,290.6,0,0
01P03GE187,General Electric Company,CF6-80C2B5F,LEC,TF,5.1,32.04,267.03,2.5855696666666668,2.0941192222222225,0.6771107222222221,0.20082377777777777,860.8093299999999,43.21,13.65,17.5,0.22,78.0,38.58164960119467,22.55681640722683,1.3126370122390227,1.2016994950391002,38.58164960119467,215970027100106.62,243404882892542.84,42145729526622.32,60890142601363.46,245511289903299.78,44.483769452686126,28.01828375696894,1.968563368041483,2.0604341504425157,512664972560225.8,836014383453102.9,268669101718018.97,534247254931626.2,97.63,97.77,284.8,290.6,0,0
01P02GE188,General Electric Company,CF6-80C2B6F,LEC,TF,5.1,32.04,267.03,2.5855923333333335,2.094118472222222,0.6771314444444445,0.20082705555555555,860.8202696666667,43.21,13.65,17.5,0.22,78.0,38.581779205631506,22.555016617346727,1.3126446898702329,1.2016879898349995,38.581779205631506,215968685116716.22,243403982460718.78,42146950738979.23,60888297972715.57,245511289903299.78,44.48391803545778,28.016379965372984,1.9685807230420527,2.0603973253701535,512661350785792.6,836052329493423.4,268678995017917.75,534221207898348.25,97.63,97.77,284.8,290.6,0,0
07P27GE218,General Electric Company,CF6-80C2B1F,LEC,TF,5.11215,31.0386499727817,254.2602552,2.3974905224281535,1.9531710680298648,0.6394412642541573,0.19008692856113277,808.5146948982896,43.22,13.68,16.2,0.26,57.8,27.983777690196153,22.581640991660407,0.5314860160956388,0.46684973794756957,28.601494036529953,190373325722127.75,240551124221415.72,41128993807085.336,52060476501515.57,241879533458126.97,32.23803571386819,27.54249528314013,0.9563502705630412,0.9692373473019521,453485206474682.8,722941468162059.1,297235261613872.8,493847305189405.1,97.62,98.65,285.3,290.6,0,0
