UID No,Manufacturer,Engine Identification,Combustor Description,Eng Type,B/P Ratio,Pressure Ratio,Rated Thrust (kN),Fuel Flow T/O (kg/sec),Fuel Flow C/O (kg/sec),Fuel Flow App (kg/sec),Fuel Flow Idle (kg/sec),NOx EI T/O (g/kg),NOx EI C/O (g/kg),NOx EI App (g/kg),NOx EI Idle (g/kg),CO EI T/O (g/kg),CO EI C/O (g/kg),CO EI App (g/kg),CO EI Idle (g/kg),HC EI T/O (g/kg),HC EI C/O (g/kg),HC EI App (g/kg),HC EI Idle (g/kg),SN T/O,SN C/O,SN App,SN Idle,SN Max,Ambient Baro Min (kPa),Ambient Baro Max (kPa),Ambient Temp Min (K),Ambient Temp Max (K),Humidity Min (kg/kg),Humidity Max (kg/kg)
2CM013,CFM International,CFM56-5B2,,TF,5.6,31.3,137.9,1.426,1.158,0.376,0.119,37.8,28.5,11,4.7,0.5,0.5,1.4,27.4,0.1,0.1,0.12,3.04,8.2,10.1,0,0,10.1,97.49,98.18,283.4,293.9,0.0067,0.0076
2CM017,CFM International,CFM56-5B2/2,DAC,TF,5.7,31.2,137.9,1.406,1.132,0.377,0.131,29.57,15.86,7.24,4.82,0.4,1.7,35.8,33.7,0.1,0.1,8.4,1.7,0.5,0.5,2.3,3.5,4.75,100.67,101.01,293,299,0.0114,0.0129
4CM037,CFM International,CFM56-5B2/2P,DAC-II,TF,5.6,31.6,137.9,1.39,1.11,0.39,0.13,29.4,17.5,7.6,4.2,0.7,1.6,21.4,35.5,0.1,0.1,3.3,2.7,0.5,0.3,0.5,2.2,2.15,98.5,99.74,284.6,292.4,0.0081,0.0115
3CM024,CFM International,CFM56-5B2/P,,TF,5.6,31.57,137.9,1.361,1.099,0.356,0.113,35.1,27.4,10.9,4.6,0.8,0.9,1.9,19.5,0.1,0.2,0.5,3.6,4.8,5.1,0.2,0.5,5.4,98.2,99.6,281.5,283.6,0.0065,0.0075
4CM038,CFM International,CFM56-5B3/2P,DAC-II,TF,5.6,32.8,142.4,1.47,1.15,0.4,0.13,32,18.6,7.8,4.3,0.6,1.3,19.9,34.5,0.1,0.1,2.9,2.5,0.5,0.3,0.5,2.3,2.25,98.5,99.74,284.6,292.4,0.0081,0.0115
3CM025,CFM International,CFM56-5B3/P,,TF,5.6,32.78,142.35,1.43,1.141,0.366,0.115,37.3,28.5,11.2,4.7,0.8,0.9,1.7,19.2,0.1,0.2,0.5,3.5,4.7,5.1,0.2,0.5,5.4,98.2,99.6,281.5,283.6,0.0065,0.0075
2CM014,CFM International,CFM56-5B4,,TF,5.9,27.1,117.9,1.166,0.961,0.326,0.107,28.7,23.3,10,4.3,0.5,0.5,2.33,31.9,0.1,0.1,0.13,3.87,10,11.7,0,0,11.7,97.49,98.18,283.4,293.9,0.0067,0.0076
2CM018,CFM International,CFM56-5B4/2,DAC,TF,5.7,27.1,117.9,1.18,0.975,0.335,0.121,16.61,12.58,6.13,4.49,1.6,4.9,43.8,37.1,0.1,0.1,11.4,2.2,0.5,0.5,2.3,3.5,4.75,100.67,101.01,293,299,0.0114,0.0129
3CM021,CFM International,CFM56-5B4/2P,DAC-II,TF,5.9,27.7,120.1,1.14,0.95,0.34,0.12,18.4,13.6,6.5,3.9,1.4,3.6,29.1,40.1,0.1,0.2,5.3,3.6,0.3,0.3,0.5,2,2,98.5,99.74,284.6,292.4,0.0081,0.0115
3CM026,CFM International,CFM56-5B4/P,,TF,5.9,27.69,120.11,1.132,0.935,0.312,0.104,28,23.2,10,4.3,0.9,0.9,2.3,23.4,0.2,0.2,0.5,4.6,5.4,4.1,0.2,0.5,5.4,98.2,99.6,281.5,283.6,0.0065,0.0075
3CM027,CFM International,CFM56-5B5/P,,TF,5.9,23.33,97.89,0.891,0.742,0.26,0.094,21.9,18.5,8.7,3.8,0.9,1,3.4,30,0.2,0.2,0.7,6.2,5.4,1.6,0.3,0.6,5.4,98.2,99.6,281.5,283.6,0.0065,0.0075
2CM019,CFM International,CFM56-5B6/2,DAC,TF,5.7,24.8,104.5,0.998,0.827,0.315,0.111,13.51,10.41,10.32,3.9,4.48,12.18,17.75,46.1,0.1,0.2,0.2,3.4,0.5,0.5,3.8,3.5,3.7,99.29,101.01,288,298,0.01,0.0146
3CM022,CFM International,CFM56-5B6/2P,DAC-II,TF,6,24.6,104.5,0.97,0.81,0.31,0.11,14.2,11,8.7,3.6,3.1,7.4,21.5,44.8,0.2,0.2,0.4,4.6,0.3,0.3,6.7,1.8,6.7,98.5,99.74,284.6,292.4,0.0081,0.0115
3CM028,CFM International,CFM56-5B6/P,,TF,6,24.64,104.53,0.961,0.799,0.275,0.097,23.6,19.6,9.2,4,0.9,1,2.9,27.7,0.2,0.2,0.6,5.5,5.4,2.2,0.3,0.6,5.4,98.2,99.6,281.5,283.6,0.0065,0.0075
6CM044,CFM International,CFM56-5B7/P,,TF,5.9,27.69,120.11,1.132,0.935,0.312,0.104,28,23.2,10,4.3,0.9,0.9,2.3,23.4,0.2,0.2,0.5,4.6,5.4,4.1,0.2,0.5,5.4,98.2,99.6,281.5,283.6,0.0065,0.0075
7CM048,CFM International,CFM56-5B8/P,SAC,TF,5.9,22.6,94.7,0.875,0.729,0.262,0.094,19.7,16.7,8.4,3.4,0.8,0.8,3.9,32.9,0.1,0.1,0.9,6.5,5.4,1.5,0.3,0.6,5.4,98.2,99.6,281.5,283.6,0.0065,0.0075
7CM050,CFM International,CFM56-5B9/2P,DAC,TF,5.9,24.4,102.2,0.961,0.799,0.296,0.105,13.9,10.7,7.6,3.2,2.9,8.1,21,44.1,0.2,0.3,0.4,4.4,0.3,0.3,6.6,1.7,6.6,98.5,99.74,284.6,292.4,0.0081,0.0115
7CM049,CFM International,CFM56-5B9/P,SAC,TF,5.9,24,102.2,0.954,0.794,0.28,0.098,21.4,17.9,8.8,3.6,0.8,0.8,3.7,30.4,0.1,0.1,0.8,5.9,5.4,2.1,0.3,0.6,5.4,98.2,99.6,281.5,283.6,0.0065,0.0075
1CM010,CFM International,CFM56-5C2,,MTF,6.8,28.8,138.78,1.308,1.076,0.3558,0.1175,32.6,25.8,10,4.19,0.93,0.8,1.75,34,0.008,0.008,0.082,5.68,11.1,8.5,1,1.1,11.1,97.77,98.11,286,295,0.0061,0.0074
7CM045,CFM International,CFM56-5C2/P,SAC,MTF,6.8,28.2,137.61,1.252,1.035,0.342,0.109,29.7,23.8,9.3,3.9,0.8,0.7,2.1,35.1,0,0,0,5.8,10.7,8.4,1,1.1,10.7,97.77,98.11,286,295,0.0061,0.0074
