UID No,Manufacturer,Engine Identification,Combustor Description,Eng Type,B/P Ratio,Pressure Ratio,Rated Thrust (kN),Fuel Flow T/O (kg/sec),Fuel Flow C/O (kg/sec),Fuel Flow App (kg/sec),Fuel Flow Idle (kg/sec),Fuel LTO Cycle (kg)  ,Fuel Heat of Combustion (MJ/kg),Fuel Hydrogen Content (% mass),Fuel Aromatics Content (% vol),nvPM EImass T/O (mg/kg),nvPM EImass C/O (mg/kg),nvPM EImass App (mg/kg),nvPM EImass Idle (mg/kg),nvPM EImass Max (mg/kg),nvPM EInum T/O (#/kg),nvPM EInum C/O (#/kg),nvPM EInum App (#/kg),nvPM EInum Idle (#/kg),nvPM EInum Max (#/kg),nvPM EImass_SL T/O (mg/kg),nvPM EImass_SL C/O (mg/kg),nvPM EImass_SL App (mg/kg),nvPM EImass_SL Idle (mg/kg),nvPM EInum_SL T/O (#/kg),nvPM EInum_SL C/O (#/kg),nvPM EInum_SL App (#/kg),nvPM EInum_SL Idle (#/kg),Ambient Baro Min (kPa),Ambient Baro Max (kPa),Ambient Temp Min (K),Ambient Temp Max (K)
01P20CM139,CFM International,LEAP-1B28BBJ2,TAPS II,TF,8.3489,40.491,124.7148002,1.013540756,0.825992688,0.273100731,0.094601841,364.7227943,43.27,13.84,14.8,0.035428315,0.013213371,3.236561923,0.198418635,3.768756872,27971199359.0,26241112758.0,111000000000000.0,20000000000000.0,117000000000000.0,0.039047718,0.014535018,4.8324903,0.418728789,45131667676.0,41535514743.0,713000000000000.0,305000000000000.0,98.02,98.16,290.6,296.5
01P20CM140,CFM International,LEAP-1B28/28B1/28B2/28B3,TAPS II,TF,8.2938,41.991,130.4085244,1.0747254,0.87256156,0.285171342,0.096910125,379.93751,43.27,13.84,14.8,0.055683165,0.014250849,3.809285913,0.202027603,3.809,29437187011.0,26005170966.0,118000000000000.0,19100000000000.0,117000000000000.0,0.061429241,0.015692473,5.555439587,0.421650281,47977837018.0,41652139616.0,712000000000000.0,281000000000000.0,98.02,98.16,290.6,296.5
light-low-7,N/A,N/A,TAPS II,N/A,10.742583509222717,34.131089091614555,124.31091569387745,0.8938452126647648,0.7360560420105234,0.2503084962243685,0.09224605490813284,338.67878068398426,43.26000017260228,13.690002589034245,16.499970657611897,1.6227556653566058,1.1285065313018054,2.4387051546665193,0.5819805957577953,7.592471337424144,104351547833.78151,78772221725.1295,82195144773300.47,4987266583876.043,218670386975389.62,1.9480442659627175,1.3007035766799067,3.657106010434948,0.6978836610065831,140325561597.5812,103277515702.87737,533230120526279.6,16642494656312.85,97.80000379725023,98.79998895345389,274.60027616365284,279.8002882458126
light-nominal-7,N/A,N/A,Tech Insertion,N/A,5.334061728441856,27.62496836017076,126.35664835412602,1.264904099559638,1.0293399720504186,0.3449814315694692,0.11121405068185174,445.34038865102383,43.26612093873009,13.818362816190259,18.622418774601723,58.70303939755163,38.96941059883535,1.499772325316952,0.7974350483986972,58.70303939755163,399936851891165.06,414994306789046.25,61585839006466.81,34098392035137.934,420407930090570.3,68.7445176499517,47.559756332045815,2.3056405009902723,1.2253317707253568,1071923634242032.1,1291750350005621.8,349145007771791.75,202198832985371.78,99.37910259042101,100.04289801856847,294.80823407353205,310.42939835129715
light-high-7,N/A,N/A,Floatwall,N/A,5.532051293230974,29.78846803774333,121.20550784690458,1.142594356027075,0.935755300915578,0.3413583912103081,0.13227358573847234,459.78147032933566,43.225624840131246,13.831124968026248,16.453754156587443,174.21804935557842,254.91418608760048,244.55997866228623,60.327316723247215,406.9265029163778,875955604022956.4,1153924141591189.0,2287090836681066.5,1440145468745844.0,2657471998779285.0,198.7031276270445,289.1568986715995,292.53984840381275,81.62133327664255,2228693989439248.2,2869797758302338.5,7115993405812520.0,6815626147086734.0,100.87762535171123,101.77749552367507,274.77627909611203,278.08750319737493
medium-low-7,N/A,N/A,TAPS,N/A,8.584999752000666,45.16718670365667,324.1130967658452,2.566990655993537,2.094460928240997,0.6579047585093137,0.20654461503740956,864.389191673598,43.15346391,13.793333330000001,17.68333333,1.8186782729694317,1.6634440844547238,3.746230544671523,2.271780898428374,6.8732173009999995,78673196889.6429,77811220580.49411,93377025499974.61,19234534480264.246,191000000000000.0,2.4619029593187896,2.2310131892193428,5.299245993795432,2.791943124107065,108559528654.05194,107456444606.27678,506316556638657.0,62818625859634.25,97.40000000000002,98.2,289.9,297.9
medium-nominal-7,N/A,N/A,Phase5,N/A,6.716088119554978,39.66509028276303,338.73965592094504,2.973067974662534,2.408653790974092,0.793914122862959,0.27266784798403937,1058.712387402366,43.17043230244798,13.732935343809315,18.075453460943102,59.830410318302505,81.9245009497157,46.05832948041012,11.617161138252406,114.53944832616669,199157135070602.6,336082793090015.6,633922587746267.8,522577433181635.75,742914748605443.0,64.09166190114601,88.58152382298206,53.2110113442137,14.78346964466012,282479069075804.06,494205489226508.1,1370907442099240.5,1542846319400888.0,100.42757822733617,101.47964957697371,287.3714602815925,293.4584180738361
heavy-low-7,N/A,N/A,DAC,N/A,7.128111425833716,42.462586620573134,509.95856396054563,4.530587747932582,3.530747156988941,1.0648313805410072,0.33972328140864283,1441.8711609081283,43.49,13.650000000000002,16.4,14.484088595850471,9.634477721136356,7.250784989894025,5.396575530685526,14.484088595850471,89788592285580.0,104295307618600.05,142444868163457.12,165220527346171.5,165220527346171.5,16.887367850218407,11.748759885226756,9.591973077819217,7.705904576916662,237996186528885.88,342476538093000.25,642704692381400.0,936472724621886.1,97.97,98.32,295.90000000000003,298.70000000000005
super-nominal-7,N/A,N/A,LEC,N/A,6.765661181372864,34.42112623939064,297.8002213336918,2.5279172258154046,2.1133965496657967,0.6858611120146668,0.22576657613732587,901.9433933616091,43.16294024975729,13.69979867750551,17.649396032516535,49.286715934348834,46.937923509382045,31.147251951293484,3.895432925418785,69.60178909373963,237991357208687.78,297335867240597.0,524468975587046.2,239588276650944.2,686648092378298.5,54.75566818532418,52.944068765767625,36.82042704810543,5.4426518409179545,454732458107614.8,733754289347559.2,1378160466204954.2,814505735143532.4,98.6625406980558,99.12815619180758,280.7166452335065,288.6578515772851
light-low-6,N/A,N/A,TAPS II,N/A,10.742583509222717,34.131089091614555,124.31091569387745,0.8938452126647648,0.7360560420105234,0.2503084962243685,0.09224605490813284,338.67878068398426,43.26000017260228,13.690002589034245,16.499970657611897,1.6227556653566058,1.1285065313018054,2.4387051546665193,0.5819805957577953,7.592471337424144,104351547833.78151,78772221725.1295,82195144773300.47,4987266583876.043,218670386975389.62,1.9480442659627175,1.3007035766799067,3.657106010434948,0.6978836610065831,140325561597.5812,103277515702.87737,533230120526279.6,16642494656312.85,97.80000379725023,98.79998895345389,274.60027616365284,279.8002882458126
light-nominal-6,N/A,N/A,Tech Insertion,N/A,5.334061728441856,27.62496836017076,126.35664835412602,1.264904099559638,1.0293399720504186,0.3449814315694692,0.11121405068185174,445.34038865102383,43.26612093873009,13.818362816190259,18.622418774601723,58.70303939755163,38.96941059883535,1.499772325316952,0.7974350483986972,58.70303939755163,399936851891165.06,414994306789046.25,61585839006466.81,34098392035137.934,420407930090570.3,68.7445176499517,47.559756332045815,2.3056405009902723,1.2253317707253568,1071923634242032.1,1291750350005621.8,349145007771791.75,202198832985371.78,99.37910259042101,100.04289801856847,294.80823407353205,310.42939835129715
light-high-6,N/A,N/A,Floatwall,N/A,5.532051293230974,29.78846803774333,121.20550784690458,1.142594356027075,0.935755300915578,0.3413583912103081,0.13227358573847234,459.78147032933566,43.225624840131246,13.831124968026248,16.453754156587443,174.21804935557842,254.91418608760048,244.55997866228623,60.327316723247215,406.9265029163778,875955604022956.4,1153924141591189.0,2287090836681066.5,1440145468745844.0,2657471998779285.0,198.7031276270445,289.1568986715995,292.53984840381275,81.62133327664255,2228693989439248.2,2869797758302338.5,7115993405812520.0,6815626147086734.0,100.87762535171123,101.77749552367507,274.77627909611203,278.08750319737493
medium-low-6,N/A,N/A,TAPS,N/A,8.584999752000666,45.16718670365667,324.1130967658452,2.566990655993537,2.094460928240997,0.6579047585093137,0.20654461503740956,864.389191673598,43.15346391,13.793333330000001,17.68333333,1.8186782729694317,1.6634440844547238,3.746230544671523,2.271780898428374,6.8732173009999995,78673196889.6429,77811220580.49411,93377025499974.61,19234534480264.246,191000000000000.0,2.4619029593187896,2.2310131892193428,5.299245993795432,2.791943124107065,108559528654.05194,107456444606.27678,506316556638657.0,62818625859634.25,97.40000000000002,98.2,289.9,297.9
