longitude,latitude,altitude,time
-87.15068411319811,36.67259604243909,11582.4,2022-03-01 02:11:00
-87.27235185339094,36.62813865532309,11582.4,2022-03-01 02:12:00
-87.39423751831055,36.58309936523438,11582.4,2022-03-01 02:13:00
-87.51697296791889,36.53773420948093,11582.4,2022-03-01 02:14:00
-87.64016009391622,36.49229922537076,11582.4,2022-03-01 02:15:00
-87.7631950378418,36.44654846191406,11582.4,2022-03-01 02:16:00
-87.88679122924805,36.39994812011719,11582.4,2022-03-01 02:17:00
-88.00960459607711,36.35389942233845,11582.4,2022-03-01 02:18:00
-88.13419423204783,36.3072075278072,11582.4,2022-03-01 02:19:00
-88.25626373291016,36.2607421875,11582.4,2022-03-01 02:20:00
-88.37865829467773,36.21418762207031,11582.4,2022-03-01 02:21:00
-88.49859237670898,36.16850280761719,11582.4,2022-03-01 02:22:00
-88.6215080098903,36.1214640989142,11582.4,2022-03-01 02:23:00
-88.74171480219411,36.07514462228549,11582.4,2022-03-01 02:24:00
-88.86268615722656,36.028564453125,11582.4,2022-03-01 02:25:00
-88.98433685302734,35.98146057128906,11582.4,2022-03-01 02:26:00
-89.10560770237697,35.93423099841102,11582.4,2022-03-01 02:27:00
-89.2266910634142,35.88698047702595,11582.4,2022-03-01 02:28:00
-89.3470573425293,35.83982849121094,11582.4,2022-03-01 02:29:00
-89.46780590300864,35.79229322530455,11582.4,2022-03-01 02:30:00
-89.589532081117,35.74415821140095,11582.4,2022-03-01 02:31:00
-89.7106738800698,35.69630251092426,11582.4,2022-03-01 02:32:00
-89.83154296875,35.64820861816406,11582.4,2022-03-01 02:33:00
-89.952392578125,35.59977722167969,11582.4,2022-03-01 02:34:00
-90.07158644655914,35.55203712592691,11582.4,2022-03-01 02:35:00
-90.18922805786131,35.50479125976562,11582.4,2022-03-01 02:36:00
-90.30527114868164,35.45791625976562,11582.4,2022-03-01 02:37:00
-90.42577865275928,35.40898209911282,11582.4,2022-03-01 02:38:00
-90.54277135970744,35.36154536877648,11582.4,2022-03-01 02:39:00
-90.66038131713869,35.31349182128906,11582.4,2022-03-01 02:40:00
-90.77821772149268,35.26527534096927,11582.4,2022-03-01 02:41:00
-90.89499337332586,35.21731567382812,11582.4,2022-03-01 02:42:00
-91.01264797911352,35.16893005371094,11582.4,2022-03-01 02:43:00
-91.12993240356444,35.12021856792902,11582.4,2022-03-01 02:44:00
-91.24385833740234,35.07287494206832,11582.4,2022-03-01 02:45:00
-91.36322021484376,35.02301749536547,11582.4,2022-03-01 02:46:00
-91.4765400789222,34.9757080078125,11582.4,2022-03-01 02:47:00
-91.58690783442285,34.92938232421875,11574.78,2022-03-01 02:48:00
-91.6984526965083,34.88241577148438,11582.4,2022-03-01 02:49:00
-91.81011199951172,34.83536542472193,11582.4,2022-03-01 02:50:00
-91.91923141479492,34.7889993958554,11582.4,2022-03-01 02:51:00
-92.03095728037306,34.74156188964844,11582.4,2022-03-01 02:52:00
-92.14003582389988,34.69500732421875,11582.4,2022-03-01 02:53:00
-92.25208516023594,34.65834045410156,11582.4,2022-03-01 02:54:00
-92.36801147460938,34.62667174258475,11582.4,2022-03-01 02:55:00
-92.48201331313776,34.59539794921875,11582.4,2022-03-01 02:56:00
-92.5951276506696,34.56436157226562,11582.4,2022-03-01 02:57:00
-92.7055549621582,34.53380002813824,11582.4,2022-03-01 02:58:00
-92.81776428222656,34.50265658103813,11582.4,2022-03-01 02:59:00
-93.03379603794644,34.44241333007812,11582.4,2022-03-01 03:01:00
-93.14405168805804,34.41156005859375,11582.4,2022-03-01 03:02:00
-93.24159622192384,34.3840880313162,11582.4,2022-03-01 03:03:00
-93.32493373325894,34.36056518554688,11582.4,2022-03-01 03:04:00
-93.46172332763672,34.321801137116,11582.4,2022-03-01 03:05:00
-93.57147216796876,34.29047148106461,11582.4,2022-03-01 03:06:00
-93.65135192871094,34.26770743677172,11582.4,2022-03-01 03:07:00
-93.7254302355708,34.24649047851562,11582.4,2022-03-01 03:08:00
-93.7254302355708,34.24649047851562,11582.4,2022-03-01 03:09:00
-93.97567749023438,34.17311328952595,11582.4,2022-03-01 03:10:00
-94.07278878348212,34.143310546875,11582.4,2022-03-01 03:11:00
-94.20025261080995,34.10426330566406,11582.4,2022-03-01 03:12:00
-94.23728942871094,34.09290378376589,11582.4,2022-03-01 03:13:00
-94.41661834716795,34.03732041181144,11582.4,2022-03-01 03:14:00
-94.54627990722656,33.99705272609904,11582.4,2022-03-01 03:15:00
-94.64515686035156,33.96609548795021,11582.4,2022-03-01 03:16:00
-94.70085922552612,33.94866943359375,11582.4,2022-03-01 03:17:00
-94.86397256656568,33.89749145507812,11582.4,2022-03-01 03:18:00
-94.97114181518556,33.86363401251324,11582.4,2022-03-01 03:19:00
-95.0602130500638,33.83546447753906,11582.4,2022-03-01 03:20:00
-95.17936706542967,33.79757638704979,11582.4,2022-03-01 03:21:00
-95.28865814208984,33.76275531316207,11300.46,2022-03-01 03:22:00
-95.39636105907204,33.72853088378906,10355.58,2022-03-01 03:23:00
-95.50603866577148,33.69264764300847,9281.16,2022-03-01 03:24:00
-95.62410315688776,33.65437316894531,9144.0,2022-03-01 03:25:00
-95.74836730957033,33.61392780885858,8488.68,2022-03-01 03:26:00
-95.86378447863518,33.57618713378906,7680.96,2022-03-01 03:27:00
-95.98939856704402,33.53478900456832,6461.76,2022-03-01 03:28:00
-96.09999053332268,33.49866446802172,5661.66,2022-03-01 03:29:00
-96.21551513671876,33.46046447753906,4800.6,2022-03-01 03:30:00
-96.30845947265624,33.40969848632812,4084.32,2022-03-01 03:31:00
-96.40513916015624,33.35687255859375,3710.94,2022-03-01 03:32:00
-96.49550170898436,33.31105041503906,3276.6,2022-03-01 03:33:00
-96.57683080556438,33.26986021914725,2887.98,2022-03-01 03:34:00
-96.65580905213648,33.22982529462394,2522.22,2022-03-01 03:35:00
-96.73434448242188,33.18983459472656,2240.28,2022-03-01 03:36:00
-96.81214001713964,33.14989510229078,1844.04,2022-03-01 03:37:00
-96.88243009606184,33.11414298364672,1531.62,2022-03-01 03:38:00
-96.93943568638394,33.08486162605932,1135.38,2022-03-01 03:39:00
-97.00296020507812,33.05140686035156,830.58,2022-03-01 03:40:00
-97.02586894132652,33.01093667240466,632.46,2022-03-01 03:41:00
-97.0257568359375,32.96894655389301,411.48,2022-03-01 03:42:00
-97.02592499402108,32.93137889797404,190.5,2022-03-01 03:43:00
-97.0259216308594,32.93064880371094,190.5,2022-03-01 03:44:00
-97.0259216308594,32.93064880371094,190.5,2022-03-01 03:45:00
-97.0259216308594,32.93064880371094,190.5,2022-03-01 03:46:00
-97.0259216308594,32.93064880371094,190.5,2022-03-01 03:47:00
