ICAO,Manufacturer,Type,n_engine,winglets,WV,MTOM_kg,MLM_kg,MZFM_kg,OEM_i_kg,MPM_i_kg,MZFM_MTOM,OEM_i_MTOM,MPM_i_MTOM,Sref_m2,span_m,bf_m,delta_2,cos_sweep,AR,psi_0,Xo,wing_constant,j_2,j_1,CL_o,etaL_D_do,nominal_F00_ISA_kn,mf_max_T_O_SLS_kg_s,mf_idle_SLS_kg_s,M_des,CT_des,eta_1,eta_2,Mec,Tec,TET_max_climb_K,FL_max,MMO,vcas_asl_asl_isa,pi_max_pa,pinf_co_pa
B748,Boeing,B747-8F,4,no,1,442253,345184,328854,197131,131723,0.744,0.446,0.298,594,68.4,6.5,0.018,0.7934,7.88,6.249,0.998,0.732,0.872,0.077,0.458,6.983,1199.2,9.81,0.87,0.830,0.0224,0.374,0.468,0.749,5.602,1693,421.0,0.900,0.5700,24977,36141
B752,Boeing,B757-200,2,no,4,113400,89800,83450,62100,21350,0.736,0.548,0.188,189,38.06,3.76,0.020,0.9063,7.66,7.102,0.986,0.770,0.874,0.078,0.496,5.469,358.0,3.64,0.35,0.772,0.0279,0.354,0.542,0.678,4.940,1474,420.0,0.860,0.5472,22875,36865
B753,Boeing,B757-300,2,no,2,122470,101610,95270,64580,30690,0.778,0.527,0.251,189,38.06,3.76,0.020,0.9063,7.66,7.594,0.992,0.767,0.873,0.077,0.509,5.106,358.0,3.64,0.35,0.772,0.0297,0.343,0.542,0.678,5.594,1622,430.0,0.860,0.5472,22875,36865
B762,Boeing,B767-200ER,2,no,6,179169,136078,117934,82377,35557,0.658,0.460,0.198,283.3,47.57,5.03,0.022,0.8526,7.99,6.963,0.999,0.726,0.871,0.076,0.488,5.848,504.4,4.86,0.41,0.772,0.0263,0.362,0.538,0.683,5.042,1497,430.0,0.860,0.5472,22875,36865
B763,Boeing,B767-300,2,no,2,158758,136078,126299,86069,40230,0.796,0.542,0.253,283.3,47.57,5.03,0.022,0.8526,7.99,6.297,0.989,0.730,0.873,0.077,0.470,6.027,504.4,4.86,0.41,0.772,0.0240,0.355,0.538,0.683,4.895,1519,431.0,0.860,0.5472,22875,36865
B764,Boeing,B767-400ER,2,no,1,204116,158757,149685,103147,46538,0.733,0.505,0.228,283.3,51.92,5.03,0.019,0.8526,9.52,7.202,1.016,0.723,0.870,0.075,0.544,6.226,512.8,4.86,0.40,0.772,0.0278,0.366,0.534,0.688,5.607,1629,450.0,0.860,0.5472,22875,36865
B77L,Boeing,B777-200LR,2,no,1,347450,223168,209107,145150,63957,0.602,0.418,0.184,427.8,64.8,6.2,0.018,0.8517,9.82,6.504,0.986,0.772,0.873,0.078,0.519,7.397,1006.5,9.01,0.75,0.811,0.0239,0.377,0.486,0.735,5.078,1667,431.0,0.890,0.5643,24441,36319
B772,Boeing,B777-200,2,no,6,286900,206350,195030,135600,59430,0.680,0.473,0.207,427.8,60.93,6.2,0.021,0.8517,8.68,6.462,0.976,0.774,0.873,0.078,0.484,6.827,781.2,6.89,0.57,0.811,0.0235,0.368,0.490,0.731,5.441,1592,431.0,0.890,0.5643,24441,36319
B77W,Boeing,B777-300ER,2,no,1,351530,251290,237673,167820,69853,0.676,0.477,0.199,427.8,64.8,6.2,0.018,0.8517,9.82,7.159,0.998,0.767,0.872,0.076,0.542,7.171,1027.8,9.38,0.76,0.811,0.0264,0.388,0.489,0.732,5.045,1592,431.0,0.890,0.5643,24441,36319
B773,Boeing,B777-300,2,no,4,299370,237680,224530,159570,64960,0.750,0.533,0.217,427.8,60.93,6.2,0.021,0.8517,8.68,7.069,0.989,0.767,0.872,0.076,0.503,6.693,744.8,6.87,0.56,0.811,0.0258,0.382,0.507,0.716,5.802,1615,431.0,0.890,0.5643,24441,36319
