ICAO,Manufacturer,Type,Year_of_first_flight,n_engine,winglets,WV,MTOM_kg,MLM_kg,MZFM_kg,OEM_i_kg,MPM_i_kg,MZFM_MTOM,OEM_i_MTOM,MPM_i_MTOM,Sref_m2,span_m,bf_m,delta_2,cos_sweep,AR,psi_0,Xo,wing_constant,j_2,j_1,CL_do,etaL_D_do,nominal_F00_ISA_kn,mf_max_T_O_SLS_kg_s,mf_idle_SLS_kg_s,M_des,CT_des,eta_1,eta_2,Mec,Tec,FL_max,MMO,pi_max_pa,pinf_co_pa
B38M,Boeing,B737 MAX 8/8-200,2016,2,yes,,82644,69308,65952,45072,20880,0.798,0.545,0.253,121.9,33.26,3.76,0.026,0.9063,9.08,7.869,0.979,0.777,0.872,0.075,0.581,6.305,248,2.00,0.19,0.763,0.0316,0.383,0.458,0.755,6.256,0.8,410.00,20883,37618
B39M,Boeing,B737 MAX 9,2017,2,yes,,88314,74343,70987,50107,20880,0.804,0.567,0.236,121.9,33.26,3.76,0.026,0.9063,9.08,8.058,0.994,0.769,0.872,0.076,0.599,6.336,248,2.00,0.19,0.763,0.0331,0.390,0.458,0.755,6.237,0.8,410.00,20883,37618
B742,Boeing,B747-200B,1971,4,no,4,371900,285700,238780,175970,62810,0.642,0.473,0.169,511.0,59.64,6.50,0.024,0.7934,6.96,7.019,1.038,0.692,0.868,0.074,0.458,5.420,882,9.11,0.90,0.810,0.0259,0.338,0.541,0.679,4.612,0.9,450.00,24977,36141
B743,Boeing,B747-300,1980,4,no,0,377800,260320,242630,174820,67810,0.642,0.463,0.179,511.0,59.64,6.50,0.024,0.7826,6.96,6.882,1.042,0.683,0.867,0.073,0.453,5.458,899,9.19,0.91,0.810,0.0253,0.337,0.542,0.679,5.051,0.9,450.00,24977,36141
B744,Boeing,B747-400,1985,4,no,5,396894,285764,246075,178756,67319,0.620,0.450,0.170,547.0,64.44,6.50,0.020,0.7934,7.59,6.688,1.029,0.698,0.869,0.074,0.465,6.120,1021,9.79,0.82,0.810,0.0245,0.356,0.537,0.684,5.296,0.9,450.00,26070,35788
B748,Boeing,B747-8F,2010,4,no,1,442253,345184,328854,197131,131723,0.744,0.446,0.298,594.0,68.40,6.50,0.018,0.7934,7.88,6.249,0.998,0.732,0.872,0.077,0.458,7.053,1199,9.81,0.87,0.830,0.0224,0.395,0.468,0.749,5.889,0.9,421.00,24977,36141
B752,Boeing,B757-200,1982,2,no,4,113400,89800,83450,62100,21350,0.736,0.548,0.188,189.0,38.06,3.76,0.020,0.9063,7.66,7.102,0.986,0.770,0.874,0.078,0.497,5.441,358,3.64,0.35,0.772,0.0280,0.347,0.542,0.678,5.377,0.9,420.00,22875,36865
B753,Boeing,B757-300,1998,2,no,2,122470,101610,95270,64580,30690,0.778,0.527,0.251,189.0,38.06,3.76,0.020,0.9063,7.66,7.594,1.005,0.760,0.873,0.078,0.522,4.987,358,3.64,0.35,0.772,0.0306,0.355,0.542,0.678,5.884,0.9,430.00,22875,36865
B762,Boeing,B767-200ER,1984,2,no,6,179169,136078,117934,82377,35557,0.658,0.460,0.198,283.3,47.57,5.03,0.022,0.8526,7.99,6.963,1.013,0.719,0.871,0.076,0.500,6.089,504,4.86,0.41,0.772,0.0272,0.368,0.538,0.683,5.408,0.9,430.00,22875,36865
B763,Boeing,B767-300,1986,2,no,2,158758,136078,126299,86069,40230,0.796,0.542,0.253,283.3,47.57,5.03,0.022,0.8526,7.99,6.297,0.989,0.730,0.873,0.077,0.470,6.002,504,4.86,0.41,0.772,0.0240,0.353,0.538,0.683,5.537,0.9,431.00,22875,36865
B764,Boeing,B767-400ER,1999,2,no,1,204116,158757,149685,103147,46538,0.733,0.505,0.228,283.3,51.92,5.03,0.019,0.8526,9.52,7.202,1.016,0.723,0.870,0.075,0.544,6.576,513,4.86,0.40,0.772,0.0278,0.361,0.534,0.688,5.831,0.9,450.00,22875,36865
B77L,Boeing,B777-200LR,2005,2,no,1,347450,223168,209107,145150,63957,0.602,0.418,0.184,427.8,64.80,6.20,0.018,0.8517,9.82,6.504,0.986,0.772,0.873,0.078,0.519,7.176,1007,9.01,0.75,0.811,0.0239,0.386,0.486,0.735,5.820,0.9,431.00,24441,36319
B772,Boeing,B777-200,1994,2,no,6,286900,206350,195030,135600,59430,0.680,0.473,0.207,427.8,60.93,6.20,0.021,0.8517,8.68,6.462,0.988,0.767,0.874,0.078,0.495,6.781,781,6.89,0.57,0.811,0.0242,0.367,0.490,0.731,5.716,0.9,431.00,24441,36319
B77W,Boeing,B777-300ER,1994,2,no,1,351530,251290,237673,167820,69853,0.676,0.477,0.199,427.8,64.80,6.20,0.018,0.8517,9.82,7.159,0.998,0.767,0.872,0.076,0.542,6.966,1028,9.38,0.76,0.811,0.0264,0.389,0.489,0.732,5.593,0.9,431.00,24441,36319
B773,Boeing,B777-300,1997,2,no,4,299370,237680,224530,159570,64960,0.750,0.533,0.217,427.8,60.93,6.20,0.021,0.8517,8.68,7.069,1.003,0.760,0.872,0.077,0.515,6.970,745,6.87,0.56,0.811,0.0266,0.394,0.507,0.716,5.803,0.9,431.00,24441,36319
B788,Boeing,B787-8,2009,2,no,1,227930,172365,161025,117707,43318,0.706,0.516,0.190,377.0,60.12,5.77,0.018,0.8462,9.59,6.383,0.968,0.784,0.873,0.077,0.508,7.656,633,4.82,0.45,0.815,0.0238,0.412,0.445,0.764,6.063,0.9,431.00,24977,36141
B789,Boeing,B787-9,2013,2,no,1,254011,192777,181437,128850,52587,0.714,0.507,0.207,377.0,60.12,5.77,0.018,0.8462,9.59,6.478,0.968,0.784,0.873,0.077,0.509,7.650,633,4.82,0.45,0.815,0.0239,0.412,0.445,0.764,6.129,0.9,431.03,24977,36141
B78X,Boeing,B787-10,2017,2,no,,254011,201848,192776,135500,57276,0.759,0.533,0.225,377.0,60.12,5.77,0.018,0.8462,9.59,6.607,0.971,0.782,0.873,0.077,0.513,7.823,689,5.33,0.47,0.815,0.0243,0.400,0.448,0.762,6.189,0.9,411,24977,36141
BCS1,Airbus,A220-100,2013,2,yes,,60781,51029,48987,35222,13765,0.806,0.579,0.226,115.0,32.50,3.51,0.023,0.8988,9.18,7.341,0.961,0.776,0.873,0.076,0.576,5.796,201,1.44,0.15,0.754,0.0304,0.337,0.393,0.785,6.230,0.8,410.00,20883,37618
BCS3,Airbus,A220-200,2013,2,yes,,70896,61008,58060,37082,20978,0.819,0.523,0.296,115.0,32.50,3.51,0.023,0.8988,9.18,7.724,0.964,0.775,0.872,0.075,0.585,5.766,201,1.44,0.15,0.754,0.0316,0.343,0.393,0.785,6.261,0.8,410.00,20883,37618
E135,Embraer,EMB-135LR,1995,2,no,0,20000,18500,15999,11500,4499,0.800,0.575,0.225,51.2,20.04,2.25,0.025,0.9239,7.85,8.018,1.012,0.709,0.869,0.074,0.562,3.484,66,0.72,0.09,0.704,0.0370,0.273,0.541,0.680,5.918,0.8,370.00,18996,38408
E145,Embraer,EMB-145LR,1995,2,no,0,22000,19300,17900,12114,5786,0.814,0.551,0.263,51.2,20.04,2.25,0.025,0.9239,7.85,8.380,1.018,0.706,0.868,0.073,0.570,3.653,74,0.82,0.10,0.704,0.0382,0.292,0.543,0.678,5.918,0.8,370.00,18996,38408
E170,Embraer,EMB-170LR,2002,2,no,0,37200,32800,29800,20700,9100,0.801,0.556,0.245,72.7,25.30,3.15,0.031,0.9239,8.80,8.103,1.005,0.744,0.869,0.074,0.598,4.129,120,1.32,0.13,0.733,0.0354,0.284,0.533,0.688,6.057,0.8,410.00,20883,37618
E195,Embraer,EMB-195STD,2004,2,no,0,48790,45000,42500,28700,13800,0.871,0.588,0.283,92.5,27.73,3.00,0.023,0.9239,8.31,8.128,1.003,0.766,0.870,0.074,0.584,4.197,162,1.67,0.17,0.758,0.0349,0.310,0.534,0.687,6.071,0.8,410.00,20883,37618
MD82,Boeing,MD-82,1981,2,no,0,67812,58967,55338,35369,19969,0.816,0.522,0.294,112.3,32.85,3.35,0.021,0.9239,9.61,8.956,1.035,0.715,0.866,0.072,0.612,4.049,185,2.62,0.27,0.720,0.0376,0.299,0.611,0.583,5.437,0.8,370.00,21866,37237
MD83,Boeing,MD-83,1984,2,no,0,72575,63276,55338,36145,19193,0.762,0.498,0.264,112.3,32.85,3.35,0.021,0.9239,9.61,8.856,1.046,0.709,0.867,0.073,0.622,4.303,193,2.71,0.27,0.720,0.0379,0.290,0.611,0.582,5.567,0.8,370.00,21866,37237
GLF5,Gulfstream,G-550,1995,2,no,0,41277,34155,23587,22882,705,0.571,0.554,0.017,105.6,28.50,2.50,0.015,0.9063,7.69,6.702,0.995,0.765,0.873,0.077,0.508,5.501,138,1.49,0.17,0.772,0.0293,0.367,0.558,0.659,5.850,0.9,510.00,24176,36409
CRJ9,Bombardier,CRJ-9,1999,2,no,0,38329,34065,32092,21350,10742,0.837,0.557,0.280,69.0,22.62,2.69,0.028,0.8988,7.42,7.941,1.011,0.737,0.869,0.074,0.550,4.250,121,1.33,0.13,0.753,0.0343,0.304,0.533,0.688,5.961,0.9,410.00,22367,37050
DC93,Boeing,DC-9-32,1967,2,no,0,48988,44906,39463,25789,13674,0.806,0.526,0.279,93.0,28.44,3.35,0.028,0.9135,8.70,7.952,1.030,0.719,0.868,0.074,0.565,3.479,130,2.13,0.27,0.733,0.0343,0.257,0.627,0.556,4.642,0.8,370.00,21866,37237
RJ1H,BAESystems,RJ-100,1987,4,no,0,44225,40142,37421,25640,11781,0.846,0.580,0.266,77.3,26.34,3.50,0.035,0.9659,8.98,9.769,1.023,0.682,0.869,0.074,0.637,3.297,124,1.43,0.18,0.650,0.0427,0.274,0.534,0.688,5.677,0.7,350.00,16955,39369
B722,Boeing,727-200,1967,3,no,0,83820,70100,63560,44390,19170,0.758,0.530,0.229,157.9,32.92,3.76,0.026,0.8480,6.86,7.902,1.058,0.687,0.865,0.072,0.499,3.690,204,3.41,0.42,0.770,0.0328,0.286,0.627,0.557,4.632,0.9,420.00,24977,36141
A20N,Airbus,A320-NEO,2014,2,yes,54,79000,66300,62800,43600,19200,0.795,0.552,0.243,122.4,35.10,3.59,0.021,0.9063,10.07,7.519,0.956,0.786,0.873,0.076,0.598,6.537,256,1.77,0.18,0.753,0.0302,0.363,0.385,0.787,6.248,0.8,410.00,20883,37618
A21N,Airbus,A321-NEO,2016,2,yes,52,93500,77300,73000,48000,25000,0.781,0.513,0.267,122.4,35.27,3.95,0.025,0.9063,10.16,8.081,0.974,0.777,0.873,0.077,0.626,5.861,256,1.77,0.18,0.753,0.0328,0.337,0.385,0.787,6.202,0.8,391.01,20883,37618
