origin,destination,dist_lb,dist_mid,dist_ub,pax_hold_freight_carried_tonnes,pax_hold_freight_capacity_tonnes,dedicated_freight_carried_tonnes,dedicated_freight_capacity_tonnes
Europe,Middle East,1000.0,1500.0,2000.0,78770.80562078692,439684.7617411219,93143.68339625811,192842.547
Europe,Middle East,2000.0,2500.0,3000.0,108119.87687555172,550715.9587492334,84028.3980628267,177896.378
Europe,Middle East,3000.0,3500.0,4000.0,103924.46794790623,445714.1821882532,78298.84531412943,132311.347
Europe,Middle East,4000.0,4500.0,5000.0,399705.6325994024,985219.4568102359,456031.4885053633,673193.031
Europe,Middle East,5000.0,5500.0,6000.0,308270.75572516694,862027.1699535004,158717.3970191945,271608.971
Europe,North America,4000.0,4500.0,5000.0,8068.395320244787,32093.182786460915,5179.172618694339,10080.532
Europe,North America,5000.0,5500.0,6000.0,403051.5164719224,995581.0453855257,82401.26611806675,120314.223
Europe,North America,6000.0,6500.0,7000.0,424591.64865152363,940078.6611567963,273762.44196918595,408986.858
Europe,North America,7000.0,7500.0,8000.0,277895.61485018785,753587.5100699913,373809.4762754469,568166.227
Europe,North America,8000.0,8500.0,9000.0,162990.65640814105,488083.8120208237,32306.060909608797,54597.773
Europe,North America,9000.0,9500.0,10000.0,68551.91513097413,206763.5262430781,35831.02514170051,52075.850999999995
Latin America,Europe,6000.0,6500.0,7000.0,24577.360859088,168208.81106755495,1417.76124,2084.9429999999998
Latin America,Europe,7000.0,7500.0,8000.0,36908.17207968355,182840.32167097443,17271.589744775883,67993.605
Latin America,Europe,8000.0,8500.0,9000.0,53111.70004902502,160903.73734580143,11496.659807440537,13892.585
Latin America,Europe,9000.0,9500.0,10000.0,130122.11000854957,331827.4311935353,26613.941676019524,50468.563
Latin America,Europe,11000.0,11500.0,12000.0,18996.925067655637,75651.65659825993,7542.827060724364,8692.668
Latin America,Latin America,0.0,500.0,1000.0,249235.7971178417,2490556.096033307,234607.93126383264,414952.78746
Latin America,Latin America,1000.0,1500.0,2000.0,132942.36905393048,1330027.369107256,138891.3506133033,249672.546
Latin America,Latin America,2000.0,2500.0,3000.0,41839.161090044276,418391.61090044276,118060.393234184,226339.208
Latin America,Latin America,3000.0,3500.0,4000.0,15312.070577244016,153120.70577244015,48639.04449,85331.65699999999
Latin America,Latin America,4000.0,4500.0,5000.0,34536.11633267161,86340.29083167891,63331.817,93135.025
Latin America,Latin America,5000.0,5500.0,6000.0,24839.736446555577,62099.341116388954,6935.594396336,8923.976
Latin America,North America,0.0,500.0,1000.0,1508.8864885760001,92331.44262764805,15581.148013872227,33729.18882
Latin America,North America,1000.0,1500.0,2000.0,15123.326213752725,387055.4628087222,169378.82932125044,299560.632
Latin America,North America,2000.0,2500.0,3000.0,42452.64150584868,537368.2494479632,438605.7742707163,680431.267
Latin America,North America,3000.0,3500.0,4000.0,20917.405582499097,235932.14170278268,42407.54299955223,99009.034
Latin America,North America,4000.0,4500.0,5000.0,11691.987935742438,45637.21936837107,35721.97185908363,37831.54899999999
Latin America,North America,5000.0,5500.0,6000.0,12012.754132837803,17321.463321028947,23661.488692211635,35562.179
Latin America,North America,6000.0,6500.0,7000.0,69529.69071485623,119835.50823250496,80076.17054174273,101740.25485999999
Latin America,North America,7000.0,7500.0,8000.0,44202.6551251308,80857.9228766195,7001.133381891094,16667.73
Latin America,North America,8000.0,8500.0,9000.0,41986.69901301823,87094.29735825674,445.573440616,767.218
Middle East,Africa,2000.0,2500.0,3000.0,10397.313581400473,103973.13581400474,31545.58068,55343.123999999996
Middle East,Africa,3000.0,3500.0,4000.0,17459.552713327845,174595.52713327846,33964.22064,59586.352
Middle East,Africa,4000.0,4500.0,5000.0,25709.488073395896,64273.720183489706,13357.91388,19643.990999999998
Middle East,Africa,5000.0,5500.0,6000.0,57022.07281803331,142555.1820450833,23112.4656,33988.92
Middle East,Africa,6000.0,6500.0,7000.0,56111.13274950903,140277.8318737724,14285.12776,21154.162
Middle East,Asia Pacific,1000.0,1500.0,2000.0,29424.000248592198,294240.00248592196,29718.207420000002,52137.206
Middle East,Asia Pacific,2000.0,2500.0,3000.0,60540.468677773366,605404.6867777337,70312.81455,123355.815
Middle East,Asia Pacific,3000.0,3500.0,4000.0,53023.09231840927,530230.9231840927,81979.29981,143823.33299999998
Middle East,Asia Pacific,4000.0,4500.0,5000.0,120357.62229285947,300894.05573214864,16011.851200000001,23546.84
Middle East,Asia Pacific,5000.0,5500.0,6000.0,188045.77152217276,470114.4288054319,253093.45816,372196.262
Middle East,Asia Pacific,6000.0,6500.0,7000.0,150488.3052322002,376220.7630805004,293952.68888000003,432283.366
Middle East,Asia Pacific,7000.0,7500.0,8000.0,144682.9002594306,361707.2506485766,42560.5472,62589.03999999999
Middle East,Asia Pacific,8000.0,8500.0,9000.0,55925.23509639626,139813.08774099065,16660.57596,24500.847
Middle East,Europe,0.0,500.0,1000.0,8855.754090643199,126461.8291831324,1985.3388307566686,4173.359
Middle East,Europe,1000.0,1500.0,2000.0,81262.32925872116,437557.3726080583,99854.3292088914,178337.858
Middle East,Europe,2000.0,2500.0,3000.0,97932.4734184815,550442.8734764927,71440.93253643533,159895.105
Middle East,Europe,3000.0,3500.0,4000.0,91695.89468417231,443470.4056215885,90650.43715165199,163031.644
Middle East,Europe,4000.0,4500.0,5000.0,393131.1043607715,998653.2868906243,348250.34580498823,502548.338
Middle East,Europe,5000.0,5500.0,6000.0,407722.4043066541,877883.8742035407,147193.65590947744,247396.817
Middle East,Middle East,0.0,500.0,1000.0,328148.3800351666,3281483.8003516663,198116.96682,347573.626
